NAME,USPOP
ALABAMA,4800031.333333333
ALASKA,722160.3333333334
ARIZONA,6478264.333333333
ARKANSAS,2938265.0
CALIFORNIA,37635557.0
COLORADO,5120368.0
CONNECTICUT,3587314.6666666665
DELAWARE,907384.3333333334
DISTRICT OF COLUMBIA,619983.3333333334
FLORIDA,19065532.0
GEORGIA,9805247.333333334
HAWAII,1379365.3333333333
IDAHO,1583326.6666666667
ILLINOIS,12863489.0
INDIANA,6514887.666666667
IOWA,3064423.6666666665
KANSAS,2870890.6666666665
KENTUCKY,4368116.0
LOUISIANA,4573709.666666667
MAINE,1327880.6666666667
MARYLAND,5838352.0
MASSACHUSETTS,6614298.333333333
MICHIGAN,9885689.0
MINNESOTA,5344538.0
MISSISSIPPI,2977698.3333333335
MISSOURI,6010205.333333333
MONTANA,997265.3333333334
NEBRASKA,1841172.3333333333
NEVADA,2719710.3333333335
NEW HAMPSHIRE,1320398.6666666667
NEW JERSEY,8824168.333333334
NEW MEXICO,2077437.0
NEW YORK,19490683.666666668
NORTH CAROLINA,9660463.666666666
NORTH DAKOTA,687038.6666666666
OHIO,11544307.333333334
OKLAHOMA,3789045.6666666665
OREGON,3869509.3333333335
PENNSYLVANIA,12741364.333333334
RHODE ISLAND,1054076.3333333333
SOUTH CAROLINA,4674999.0
SOUTH DAKOTA,824437.0
TENNESSEE,6402833.333333333
TEXAS,25657360.333333332
UTAH,2814363.6666666665
VERMONT,626339.3333333334
VIRGINIA,8103311.333333333
WASHINGTON,6822171.666666667
WEST VIRGINIA,1855804.0
WISCONSIN,5705241.0
WYOMING,569363.6666666666
PUERTO RICO,3678248.3333333335
